"country","articles_2014","articles_2015","articles_2016","articles_2017","articles_2018","articles_speed","articles_acc","access_openacc_2014","access_openacc_2015","access_openacc_2016","access_openacc_2017","access_openacc_2018","access_openacc_speed","access_openacc_acc","access_other_2014","access_other_2015","access_other_2016","access_other_2017","access_other_2018","access_other_speed","access_other_acc","affiliation_collab_2014","affiliation_collab_2015","affiliation_collab_2016","affiliation_collab_2017","affiliation_collab_2018","affiliation_collab_speed","affiliation_collab_acc","affiliation_collab_mean_2014","affiliation_collab_mean_2015","affiliation_collab_mean_2016","affiliation_collab_mean_2017","affiliation_collab_mean_2018","affiliation_collab_mean_speed","affiliation_collab_mean_acc","affiliation_collab_stdv_2014","affiliation_collab_stdv_2015","affiliation_collab_stdv_2016","affiliation_collab_stdv_2017","affiliation_collab_stdv_2018","affiliation_collab_stdv_speed","affiliation_collab_stdv_acc","affiliation_collab_med_2014","affiliation_collab_med_2015","affiliation_collab_med_2016","affiliation_collab_med_2017","affiliation_collab_med_2018","affiliation_collab_med_speed","affiliation_collab_med_acc","art_per_auth_mean_2014","art_per_auth_mean_2015","art_per_auth_mean_2016","art_per_auth_mean_2017","art_per_auth_mean_2018","art_per_auth_mean_speed","art_per_auth_mean_acc","art_per_auth_stdv_2014","art_per_auth_stdv_2015","art_per_auth_stdv_2016","art_per_auth_stdv_2017","art_per_auth_stdv_2018","art_per_auth_stdv_speed","art_per_auth_stdv_acc","art_per_auth_med_2014","art_per_auth_med_2015","art_per_auth_med_2016","art_per_auth_med_2017","art_per_auth_med_2018","art_per_auth_med_speed","art_per_auth_med_acc","collab_national_2014","collab_national_2015","collab_national_2016","collab_national_2017","collab_national_2018","collab_national_speed","collab_national_acc","collab_internat_2014","collab_internat_2015","collab_internat_2016","collab_internat_2017","collab_internat_2018","collab_internat_speed","collab_internat_acc","doctype_art_2014","doctype_art_2015","doctype_art_2016","doctype_art_2017","doctype_art_2018","doctype_art_speed","doctype_art_acc","doctype_confer_2014","doctype_confer_2015","doctype_confer_2016","doctype_confer_2017","doctype_confer_2018","doctype_confer_speed","doctype_confer_acc","doctype_other_2014","doctype_other_2015","doctype_other_2016","doctype_other_2017","doctype_other_2018","doctype_other_speed","doctype_other_acc","funding_mean_2014","funding_mean_2015","funding_mean_2016","funding_mean_2017","funding_mean_2018","funding_mean_speed","funding_mean_acc","funding_stdv_2014","funding_stdv_2015","funding_stdv_2016","funding_stdv_2017","funding_stdv_2018","funding_stdv_speed","funding_stdv_acc","funding_med_2014","funding_med_2015","funding_med_2016","funding_med_2017","funding_med_2018","funding_med_speed","funding_med_acc","subarea_science_2014","subarea_science_2015","subarea_science_2016","subarea_science_2017","subarea_science_2018","subarea_science_speed","subarea_science_acc","subarea_health_2014","subarea_health_2015","subarea_health_2016","subarea_health_2017","subarea_health_2018","subarea_health_speed","subarea_health_acc","subarea_social_2014","subarea_social_2015","subarea_social_2016","subarea_social_2017","subarea_social_2018","subarea_social_speed","subarea_social_acc","cites_2014","cites_2015","cites_2016","cites_2017","cites_2018","cites_speed","cites_acc","cites_per_auth_2014","cites_per_auth_2015","cites_per_auth_2016","cites_per_auth_2017","cites_per_auth_2018","cites_per_auth_speed","cites_per_auth_acc","class"
"China (Mainland)",1098,1281,1289,1271,1416,5.218518526,-1.752775592,463,625,698,712,721,9.262429932,-7.860286991,635,656,591,559,695,1.82213894,7.007357533,3082,3877,4041,3884,4683,8.727225207,-1.741120886,19.3836478,24.3836478,25.41509434,24.42767296,29.45283019,-8.026715655,1.147944316,81.43008174,98.87114737,99.73536515,95.6758411,111.2909119,-6.056868258,1.203112868,5,7,8,7,9,-11.09104639,2.116402116,9.38125,10.4375,9.41875,8.85625,9.975,1.234942134,0.457720416,4.45080994,5.531712462,4.438924278,4.34928878,4.674230169,-0.97478568,4.196114702,8,9,8,7,8,0,-0.462962963,1096,1280,1289,1264,1408,5.137687412,-1.798638702,388,468,631,499,585,8.558748526,-1.128029254,982,1177,1169,1110,1226,4.538387413,-3.135661119,72,53,78,79,77,1.351841917,7.95241444,44,51,42,82,113,20.76056976,7.298595713,9.44375,11.22875817,13.0125,13.89375,17.15,12.67405609,1.5117736,56.54638513,67.40231691,67.85222451,63.34457996,69.09515816,-3.929191342,2.594492203,1,1,2,2,4,-24.21417167,-16.66666667,935,999,904,883,1089,-3.003347533,-4.170010231,803,914,901,910,1146,7.372685272,4.036967599,12,12,17,20,13,1.613736474,-11.66666667,128724,127197,100870,67684,29323,-25.61081944,-18.49678529,11.09785326,9.984065934,7.460247023,4.563684175,1.857885066,-30.05511296,-16.41791217,"B"
"Australia",8156,8404,8849,9107,9724,3.579437121,1.244767336,1859,1971,2132,2268,2472,5.865344554,0.250087916,6297,6433,6717,6839,7252,2.864334439,1.29304532,10407,11533,13009,14602,16781,10.02679351,1.367657571,65.45283019,72.53459119,81.81761006,91.83647799,105.5408805,-9.113047092,-1.07387849,90.28020362,98.10558636,102.3231327,117.478351,130.2504764,-7.068565316,-0.609776031,36,40,46,50,62,-10.30212339,-3.11827957,18.9125,19.90625,21.01875,20.8,21.0375,2.152508917,-1.370878137,6.731496885,7.710808289,7.35229556,6.210966159,6.234301038,1.546457157,4.108734771,17,17,19,19,19,-2.199952868,0,8146,8396,8839,9079,9675,3.50022969,1.165202903,6938,7960,9461,10572,12268,12.07477983,0.437302071,5577,5811,6092,6242,6841,4.170269849,1.800159682,1221,1165,1070,1085,1029,-3.363778149,-0.191628579,1358,1428,1687,1780,1854,6.424591528,-0.332445268,58.9,60.9,68.39375,76.0375,92.45,9.435524603,6.063052877,437.0128907,470.0439589,490.0551772,459.9029551,384.1764663,2.610711272,8.912870359,8.5,8,12,17,31.5,-23.04768768,-17.42724868,8353,8845,9187,9665,10568,-4.595263726,-0.994066155,3323,3567,3745,3750,4169,4.640621583,1.276856923,2018,2120,2271,2253,2449,3.947374557,1.215000782,150643,138825,111125,76367,33974,-25.75972955,-15.88905336,23.55637217,20.84459459,15.7267195,10.36609203,4.400207227,-28.50544875,-15.34668467,"B"
"United States",3810,3897,3811,3879,3937,0.65795151,-0.262744612,606,789,828,849,715,3.363375511,-9.567596357,3204,3108,2983,3030,3222,0.112107905,3.110962782,14616,15175,18344,21094,25234,11.54022414,5.267286083,91.9245283,95.44025157,115.3710692,132.6666667,158.7044025,-10.34624435,-4.24091516,20.81459662,21.73010255,17.52233781,16.00065927,16.11727333,5.248347464,1.163180747,86,89,110,125,152,-10.76587434,-4.797457126,82.84375,84.61875,105.25625,121.1125,145.36875,11.90313699,5.96175965,7.944419247,5.741684581,3.573569776,2.72650051,3.294023318,19.25239149,-18.53092455,78,82,103,120,145,-11.66245611,-4.121110177,3782,3879,3787,3851,3891,0.569882161,-0.50869643,5815,6123,7232,8042,9837,11.08683426,5.674557242,1954,1850,1943,1972,2002,0.486542337,2.281237911,1489,1689,1485,1516,1479,-0.134680624,-5.29082223,367,358,383,391,456,4.438290796,6.358785666,33.2375,37.0625,44.9625,59.40625,81.50625,19.6499475,8.564462387,197.4351096,211.2775065,189.7426223,165.4468049,147.3247385,6.030239216,6.284174487,9.5,16.5,26,38,59,-30.59762721,2.277007362,5461,5573,5461,5632,5830,-1.299188277,-0.462178947,409,417,371,382,393,-0.794934435,0.307863644,760,791,876,817,826,1.679474026,-0.99245206,85449,70411,49973,31867,13721,-30.63574024,-13.11470579,27.23040153,22.05167554,15.52438646,9.847651422,4.036775522,-31.73531181,-13.32985211,"B"
"Canada",9553,9607,9783,9812,10420,1.752617112,1.877075545,2697,2856,3045,3155,3190,3.414621633,0.100351571,6856,6751,6738,6657,7230,1.067959506,3.379662033,22823,27179,30803,25291,28838,4.789672112,-1.687085946,143.5408805,170.9371069,193.7295597,159.0628931,181.3710692,-4.570748257,1.242445446,71.54928744,71.96269124,79.32872527,84.72036546,86.67760383,-3.763530283,-0.561199128,121,148,170,133,154,-4.708770631,1.535626536,87.925,117.48125,127.20625,94.43125,117.00625,5.881317515,-3.236338701,4.808993148,4.119247466,2.997056995,2.836469315,2.96201715,10.17760254,-6.994350307,86,116,128,94,116,-5.809285266,2.298850575,9533,9577,9766,9767,10345,1.648314195,1.818777387,13427,15321,17560,16785,18636,6.776269246,-1.026067568,6762,6872,7001,6919,7524,2.158550942,2.372433501,1039,923,912,833,840,-4.163102121,4.001639154,1752,1812,1870,2060,2056,3.251840464,-1.206277431,76.80625,78.13125,98.70625,103.8125,125.9375,10.395584,6.529114115,505.0407356,517.2001683,517.4241061,467.7892364,394.3676203,5.071524077,6.989522618,16,18,38,40,61.5,-23.60780773,-7.949412827,8677,8730,8844,8549,9300,-1.377199692,-2.489388957,4594,4758,4854,5032,5343,3.066810515,0.870190468,2203,2105,2105,2149,2335,1.170635393,4.367889269,224930,180796,143326,87459,37990,-29.93124804,-12.31376269,23.35236711,17.18266489,14.53610548,8.482929195,3.591755696,-31.23060938,-10.41299558,"B"
"Australia",8555,8758,9173,9321,9930,3.025764748,1.386917458,2188,2362,2552,2641,2778,4.890700245,-0.472944759,6367,6396,6621,6680,7152,2.352517969,2.203464909,10017,11887,13227,14270,15482,9.098273504,-3.391640425,63,74.76100629,83.18867925,89.74842767,97.37106918,-8.339521068,2.634341806,78.32413987,86.52989965,92.94602829,100.5892744,106.902745,-6.031703141,1.19244729,35,45,50,52,59,-9.916924156,3.452605148,19.1,20.08125,20.29375,20.075,22.0125,2.879110426,1.504624347,6.770450038,7.436077172,7.568219613,7.051071554,9.01570084,-5.567038659,-4.279959252,16,17,17.5,18,19,-3.378611031,0.206398349,8450,8635,9016,9175,9742,2.886473856,1.330162467,7709,9064,10381,11661,12827,10.71982988,-2.525905259,6411,6667,6722,6844,7206,2.365519826,0.432055901,657,719,837,825,957,7.812548877,2.187721969,1487,1372,1614,1652,1767,3.51066917,4.898317026,61.6875,62.8375,70.99375,77.675,89.05,7.618603148,4.260038803,447.3843646,472.1007233,498.2558952,453.4443522,385.8676379,3.002671572,7.582775188,9,8.5,12,17,26,-19.11763672,-13.49924585,7843,8013,8211,8283,9257,-3.260822575,-2.800071611,4321,4390,4641,4813,4978,2.871275621,0.610454223,2361,2330,2493,2458,2631,2.189193638,2.783748479,185963,160129,118595,77263,35397,-28.23577776,-13.43144658,26.21042988,21.54588267,15.34217335,9.663914947,4.22197042,-30.59221126,-12.83849231,"B"
"Hong Kong SAR",4465,4370,4592,5027,5481,4.185592951,3.719630308,963,1111,1216,1397,1385,7.538678984,-2.112469439,3502,3259,3376,3630,4096,3.183145072,6.592119209,9805,19935,22908,19348,22689,18.26971531,-28.68223357,61.66666667,125.3773585,144.0754717,121.6855346,142.6981132,-15.44750088,12.029984,63.49082129,57.15454058,54.16250129,60.77767519,63.64624888,-0.048888863,-5.197761022,47,113,131,104,126,-17.89956417,13.64892073,42.0875,109.00625,123.1375,92.43125,113.175,21.87635994,-45.51891773,0.553860096,0.079056942,0.739602987,2.280962709,1.078958268,-12.48568739,-163.0598665,42,109,123,92,113,-17.95839096,14.29460637,4290,4195,4360,4724,5040,3.27486807,2.967899539,6774,9658,11213,11278,13456,14.71340137,-7.754205003,3068,3045,3168,3428,3715,3.901230891,3.040634253,748,646,699,735,859,2.805964811,10.16903731,649,679,725,864,907,6.923340383,0.118118568,35.24375,39.21875,55.125,64.48125,86.2125,19.59075988,7.474353988,248.4548666,247.4001844,254.8889942,241.7722035,215.1544827,2.919915692,3.981713313,7,10.5,25,34,57,-34.2577389,-2.339181287,4358,4385,4482,5197,5788,-5.517420694,-3.198348488,1889,1816,1887,2015,2182,2.925872613,4.05077325,1039,1013,1145,1165,1344,5.282634603,5.955737676,82355,75532,63079,49317,19083,-25.35661332,-17.67352263,21.12750128,19.03528226,15.10150826,11.2931074,3.997276917,-28.32243887,-18.23381833,"B"
"France",8237,8747,8946,9323,9198,2.231531729,-2.51078158,2381,2780,2917,2978,2745,2.886072876,-6.032811662,5856,5967,6029,6345,6453,1.960538242,-0.064454715,26619,28494,34624,35156,37567,7.13292335,-0.061945514,167.4150943,179.2075472,217.7610063,221.1069182,236.2704403,-6.658012427,0.054155319,193.2945317,225.0637062,257.7440458,298.564341,336.0053436,-10.46874407,0.990886033,96,96,125,108,110,-2.685913645,-0.606060606,35.6875,21.36875,46.4875,29.2875,23.39375,-8.099739217,6.666273001,2.701472927,6.028884223,3.793386333,4.307938409,7.28753297,-18.00185694,4.768324276,36,20,47,28,22,10.35092146,-17.57575758,8207,8729,8913,9290,9150,2.199161386,-2.6224736,11798,12456,14603,14222,15380,5.445873481,0.855032749,6214,6643,6803,6969,6912,2.151911125,-2.573891189,1066,950,948,1062,823,-5.042663128,-3.874302324,957,1154,1195,1292,1463,8.859535702,-2.449955949,64.96875,67.21875,77.225,82.93125,90.80625,6.925735436,2.010871285,460.9213008,496.2626064,490.0058009,458.6461499,338.1119702,6.393046913,14.25689436,14,13,20,22,33,-15.7591347,-13.67521368,11354,11655,11968,12302,12567,-2.009617038,0.157961734,1475,1634,1680,1794,1863,4.781392784,-2.311169057,1689,1723,1969,2075,1814,1.438198246,-4.863779571,165397,134849,118386,70052,31566,-28.19769523,-12.15656246,21.68856543,17.11064586,14.20688828,8.279399598,3.642931333,-30.00870458,-11.63084276,"B"
"United Kingdom",5156,5222,5445,5634,5868,2.620810241,0.95776419,1750,2028,2191,2483,2522,7.582444145,-3.910786551,3406,3194,3254,3151,3346,-0.354828584,4.137607208,16954,17644,21141,24850,28856,11.22253519,4.016962773,106.6289308,110.9685535,132.9622642,156.2893082,181.4842767,-10.09016309,-3.324016726,40.68053269,42.41289232,40.62531586,45.53011883,56.95488503,-6.508714719,-5.324938116,86,93,116,135,161,-11.78660941,-2.874062201,79.10625,83.46875,106.30625,125.40625,146.10625,13.05547509,3.66387314,12.91948792,11.11626486,9.959665117,10.28052863,9.209372362,7.004749201,-1.530109892,76,81,104,123,144,-11.99847058,-2.803497942,5150,5215,5442,5626,5842,2.553589244,0.859060511,9293,10345,11795,13354,15089,10.17952717,0.55733773,3554,3648,3795,3878,4173,3.263345772,1.654035593,674,628,652,664,570,-3.296322089,-2.44390023,928,946,998,1092,1125,3.92520964,0.360774283,46.3,49.39375,61.78125,81.2375,108.675,18.60683898,9.030820464,242.9616218,239.5852574,244.0056106,245.3343883,195.3571652,4.457990441,8.057744676,13,19,28,45,81,-30.64278169,-4.288499025,5245,5282,5384,5378,5822,-2.065737253,-2.308584346,1865,2039,2046,2264,2385,5.041740553,-1.328411915,1072,1047,1115,1228,1207,2.400598968,0.207330611,115438,103794,79592,53241,23180,-27.46411277,-15.45844174,27.19387515,23.75148741,17.48506151,11.2894402,4.71042471,-29.57646951,-15.20571561,"B"
"Netherlands",4832,4871,5031,5265,5646,3.162721274,2.14311601,606,763,1140,1404,1656,22.2693326,-6.223707841,4226,4108,3891,3861,3990,-1.142714614,2.044447288,5685,5857,6438,7004,7678,6.19486759,2.199188938,35.75471698,36.83647799,40.49056604,44.05031447,48.28930818,-5.833490573,-1.947223566,40.35627992,41.0710829,46.58935445,50.66641945,55.36305329,-6.127535809,-2.247643832,20,20,20,23,25,-4.364750021,-2.666666667,14.6625,14.33125,14.7625,15.03125,15.26875,0.813592663,1.279735372,5.660063671,5.939656593,5.922441597,5.719240257,6.161068554,-1.681995561,-0.821356537,12,12,13,13,13,-1.588108587,0,4827,4867,5018,5250,5590,2.978580685,1.882506141,3646,3960,4607,5024,5670,9.232853499,1.415367509,2619,2763,3038,3212,3464,5.751972583,0.782432431,1761,1661,1561,1537,1580,-2.145783,2.825416495,452,447,432,516,602,5.898939573,5.924287119,32.0875,32.525,35.84375,38.675,42.1875,5.625695522,2.572878362,314.0365798,312.4489785,305.8662623,293.9750674,249.2648357,4.728249508,5.809574462,3,3,4,6,8,-17.81240852,-8.333333333,7871,8156,8384,9002,9851,-4.388546894,-1.708018131,299,373,395,358,415,6.776426377,-2.942458723,838,887,868,979,1025,4.110844515,-0.382861085,70067,62712,46329,33105,15687,-25.86807551,-14.03910435,18.19922078,15.97350993,11.2558309,7.517029973,3.227777778,-29.24287689,-14.9435867,"B"
"United States",8487,8433,8686,8928,8848,0.836597355,-0.086596705,2368,2653,2812,2683,2655,2.314353755,-4.310510107,6119,5780,5874,6245,6193,0.240707987,1.569151601,24419,28627,31901,30474,35620,7.843309751,-0.115318895,153.5786164,180.0440252,200.6352201,191.6603774,224.0251572,-7.27287559,0.084156576,82.56086237,80.37509737,87.4951298,93.7135975,94.92021631,-2.751457687,-1.330216046,139,162,184,177,207,-7.655955707,-0.098407586,100.53125,125.56875,134.4,126.4875,153.8,8.875722643,-1.10404946,15.495555,16.87229946,22.94516296,18.43328528,25.29021488,-9.332649824,-6.317727782,96,125,129,121,146,-8.043236931,2.025570776,8478,8410,8677,8906,8806,0.762063725,-0.106920858,11599,13146,15050,14955,17208,8.20864774,0.575946306,6204,6306,6413,6428,6600,1.245196889,0.343897608,875,771,759,780,666,-5.312372444,-0.90989011,1408,1356,1514,1720,1582,2.357758035,-1.443357999,69.8125,75.2625,95.6125,110.31875,140.3875,14.99502446,6.483207072,405.8824564,414.0253462,419.6036912,401.3661007,305.8088972,5.825427775,11.07137335,17,22,43.5,56,87.5,-27.9410095,-4.424242424,8583,8180,8713,8824,8895,-0.711572615,-1.908283868,3478,3486,3528,3633,3780,1.679275822,1.272075174,1873,1905,1862,1944,1978,1.096868164,0.013494046,191478,164974,109810,69366,29530,-31.1935878,-14.5289708,21.90573161,18.73427209,12.09760934,7.52832646,3.224151108,-31.83341692,-14.23176956,"B"
"United Kingdom",3571,3918,4016,4259,4375,4.144812264,-2.331174004,1161,1343,1431,1580,1581,6.370188788,-4.31749907,2410,2575,2585,2679,2794,3.00110215,-0.851275506,20341,24945,26670,23154,25662,4.757141696,-3.934089024,127.9308176,156.8867925,167.7358491,145.6226415,161.3962264,-4.541114447,2.894466337,50.23704814,50.80976946,51.91137199,59.54858449,60.93927449,-3.78885865,-0.384968036,108,136,151,123,140,-5.057832137,2.81512605,88.46875,117.24375,124.68125,95.8,115.9375,5.556943919,-3.835084806,9.650445211,8.327983346,7.559717704,10.85513529,8.465013086,2.655906678,4.118522403,85,114,122,92,113,-5.535616097,2.284841898,3566,3908,4002,4244,4359,4.097693287,-2.293623285,8036,9664,11112,11196,11487,7.407186026,-5.88656423,2535,2752,2801,3031,3062,3.849747406,-2.512464342,328,411,398,441,447,6.386552563,-7.98144461,708,755,817,787,866,4.111074054,1.133233787,33.8375,38.08125,52.61875,63.36875,82.4,19.48290926,5.830329556,176.8716227,198.0580555,199.5219403,198.5635403,162.703156,1.683956599,10.9124854,11,12.5,23.5,37,56.5,-27.91102551,-7.504424779,3656,4178,4273,4677,4777,-5.208326813,3.46688408,869,1041,1024,1052,1139,5.560342225,-3.840967795,1453,1432,1568,1669,1717,3.395332979,1.440419751,75223,63778,57622,41166,14129,-28.42651648,-16.82107508,28.99884348,22.75347842,19.72680589,13.41348974,4.591810205,-30.82954218,-14.7435404,"B"
"Hong Kong SAR",3210,3192,3241,3488,3887,3.901520154,3.999989282,273,302,348,461,527,14.05900893,0.272169854,2937,2890,2893,3027,3360,2.727582084,4.200421156,3216,3243,3508,3786,4534,7.110758595,6.305815744,20.22641509,20.39622642,22.06289308,23.81132075,28.51572327,-6.638696885,-5.221670481,27.4912931,26.09355584,26.34884897,28.25117222,33.45483548,-3.850450455,-6.970310375,11,11,13,14,16,-7.219963187,-4.166666667,14.8125,14.96875,14.99375,16.41875,16.95625,2.74017226,0.739614637,9.563549445,9.930843811,10.48058815,10.70324225,10.36706619,-1.600555369,2.313750722,12,12,12,13,13,-1.588108587,0,3188,3177,3225,3463,3742,3.256427258,2.800547413,3101,3236,3402,3695,4417,7.330987869,5.062161478,2263,2355,2280,2514,2826,4.543616752,2.781700427,635,572,660,614,600,-1.127502379,2.547043183,312,265,301,360,461,8.120803942,14.37321937,26.11875,26.10625,30.425,35.4625,43.3625,10.67063068,7.441637188,166.0630467,162.4119538,166.8310466,164.2064159,162.006114,0.495894319,-0.29662824,3,3,5,7,10,-21.39969144,-10,4843,5054,5163,5673,6305,-5.139398174,-1.94962656,200,206,248,242,313,9.37117261,8.779614325,1016,877,810,904,924,-1.880426301,5.297830581,59278,57446,40868,30109,14769,-24.26589288,-15.95256628,28.65055582,28.27066929,19.64807692,13.21149627,6.003658537,-26.84288232,-17.74379499,"B"
"United States",3941,4097,4210,4406,4608,3.176598749,0.20875703,1026,1140,1325,1313,1322,5.200261382,-2.175484609,2915,2957,2885,3093,3286,2.424959288,1.599691071,15676,16212,19716,22406,26399,10.98657367,4.80062658,98.59119497,101.9622642,124,140.918239,166.0314465,-9.899011479,-3.939793332,52.85700962,55.57876003,51.84250736,56.29015794,63.11566852,-3.485385456,-1.972394448,85,92,113,127,152,-10.97436757,-2.946224256,83.44375,85.28125,106.15625,122.50625,145.6625,11.78686821,5.56667153,9.505210008,5.430141681,4.351746378,0.996830669,1.92267993,37.66100783,-41.06648101,78,82,103,122,145,-11.66245611,-3.661340062,3890,4065,4187,4397,4582,3.328731223,-0.097100169,5461,6042,7755,8547,9725,12.23375328,1.047845564,2936,2932,3042,3120,3302,2.377425371,1.989857705,303,332,396,397,356,3.276491072,-6.632804338,702,833,772,889,950,6.23736702,-3.933108789,34.16875,38.45,45.78125,61.11875,83.6625,19.61354157,8.118479428,187.8474298,199.0853235,212.9234271,203.0865408,175.8693729,1.326492266,7.040182857,11,18,26,38,69.5,-30.83576526,-2.144950706,2667,2567,2656,2754,2835,-1.21432073,-2.25091361,2490,2656,2646,2865,3061,4.215615182,0.058173357,1051,1065,1193,1150,1162,2.0283075,-0.09619548,97278,72643,65737,38973,17254,-29.2420842,-10.13466551,26.75412541,19.20756214,17.63331545,9.952247191,4.180760843,-31.01210189,-9.928229732,"B"
"Netherlands",8162,8388,8680,8774,9031,2.044088414,0.053393182,2694,3006,3567,3905,4138,8.96288136,-2.88406101,5468,5382,5113,4869,4893,-2.197638333,0.68856716,26861,31898,35407,32149,35404,5.678351753,-2.875787465,168.9371069,200.6163522,222.6855346,202.1949686,222.6666667,-5.37324027,2.199027428,301.5921608,302.9194403,325.6421725,336.829399,339.135156,-2.319146143,-0.080576897,110,142,163,140,159,-7.103551231,3.528508578,83.5875,114.35,123.34375,92.6375,113.6,6.327939781,-4.724742147,6.592722784,1.467466906,0.918344662,2.406718845,2.857627991,18.19846176,-121.6792812,84,114,123,92,113,-5.758938653,2.577239559,8139,8365,8663,8728,8977,1.979302056,0.025377786,14189,16700,18939,18888,20553,7.692308519,-2.960562225,6041,6159,6473,6432,6621,1.850449595,0.328371283,802,765,822,853,870,1.641011149,2.202144112,1319,1464,1385,1489,1540,3.146663668,-2.522686373,60.7625,65.06875,79.8625,84.975,103.99375,11.34592333,5.098187896,498.2172304,519.8685988,533.8903202,487.5828064,400.5790227,4.459058721,8.628094274,13,17,24.5,34,57.5,-25.72287225,-5.780051151,4855,4882,4984,5085,5230,-1.477026871,-0.739804837,5541,5547,5758,5767,5962,1.475398223,1.091007912,2503,2636,2610,2667,2774,2.077287595,-0.43387505,170943,149880,125069,75584,35048,-27.16126684,-13.7695823,28.12025004,23.31673927,18.66980146,10.57266751,4.476689232,-30.75513804,-13.52528923,"B"
"Japan",3901,3939,3830,3847,3824,-0.397924879,-0.523992557,900,1115,1141,1141,1110,4.283618904,-8.162252453,3001,2824,2689,2706,2714,-1.990365508,2.06455777,16246,21566,23197,17774,21838,6.094600683,-3.293887813,102.1761006,135.6352201,145.8930818,111.7861635,137.3459119,-5.744496557,2.019565605,44.06949842,44.19998015,42.90711062,40.34571563,43.50323535,0.258986513,-2.320972848,89,125,135,103,125,-6.567923993,3.733333333,84.83125,115.63125,125.2125,93.54375,114.91875,6.259313407,-4.485701447,3.404070584,3.354564852,3.98958944,3.00282231,3.304222332,0.597192143,-3.53247833,83,114,124,92,114,-6.149919774,2.631578947,3898,3935,3827,3840,3814,-0.434754075,-0.542096018,5650,7104,7834,6496,7650,6.248448625,-2.656578316,2589,2628,2711,2578,2621,0.245986523,0.053862181,1088,1052,871,1001,875,-4.263877984,-3.092863019,224,259,248,268,328,7.925772298,2.254353234,32.78125,36.05625,49.20625,55.43125,70.35625,16.50255092,5.644926042,196.3937347,214.9295993,209.8592549,185.365443,157.120406,4.563234079,8.866946377,8,8.5,16,26,35,-25.56033868,-6.610644258,6533,6667,6764,6626,6799,-0.79500869,-0.178197444,224,198,148,189,178,-4.493177409,1.929012346,188,167,149,186,173,-1.649255735,1.393655151,47570,41901,35197,20935,9453,-27.61521291,-14.30959236,12.79795534,11.53026968,10.05915976,6.008897819,2.615661317,-27.20724041,-15.52160719,"B"
"Australia",8036,8239,8724,9452,10154,4.789904894,1.633622391,1988,2203,2393,2731,2799,7.082204564,-1.129296586,6048,6036,6331,6721,7355,3.990622731,3.210510923,11088,12585,15283,16798,21621,14.28902083,5.070223049,69.73584906,79.1509434,96.11949686,105.6477987,135.9811321,-12.5025315,-3.470634366,111.6645889,116.1040666,126.2176824,140.608449,147.2326357,-5.380145268,-0.225141234,33,43,56,62,92,-18.5398468,-3.117627233,18.00625,18.0875,29.15,31.95,62.36875,28.20611878,31.58537434,5.897976281,6.437300403,3.919311966,3.00272413,1.604325423,29.74245493,31.84746347,16,16,28,31,62,-23.73142034,-16.66666667,7596,7789,8197,8908,9520,4.61896,1.443139352,7036,8530,10513,11829,15831,17.60790225,4.199484015,5834,6037,6316,6772,7295,4.571123557,1.414458211,656,741,782,927,961,7.935401077,-3.096523886,1546,1461,1626,1753,1898,4.187914196,4.589864674,57.06875,58.7875,68.24375,80.925,103.1375,12.56507058,8.145512078,434.5072699,450.8731764,474.9988381,471.4496252,405.5236771,1.39024353,6.628938646,7,8,12.5,20,42,-30.11728812,-13.29365079,6684,7259,7221,7858,8490,-4.670843518,0.159049814,4122,4356,4528,5013,5486,5.883810757,1.25287063,2297,2224,2344,2508,2812,4.128800168,5.099756819,159635,144036,127113,81433,35413,-26.00422544,-15.58034979,24.61983344,21.36715621,17.94874329,10.65876963,4.309723743,-29.42792867,-15.45159719,"B"
"China (Mainland)",12640,13313,14035,15193,16929,6.01732602,2.033982554,2478,3059,3406,4085,4080,10.48715027,-4.006670978,10162,10254,10629,11108,12849,4.804040844,4.922684984,21852,28269,31015,27955,32514,8.271920913,-4.352460135,137.4339623,177.7924528,195.0628931,175.8176101,204.490566,-7.639950269,2.89270831,199.3598149,203.544107,225.5212439,262.9539079,276.6956439,-6.345842801,-0.970218251,91,129,145,116,140,-8.254943739,4.104835733,82.11875,113.88125,123.7125,90.44375,114.425,6.860134931,-4.054547837,0.506211418,4.834847139,3.457536659,5.913152247,6.222852993,-39.45636682,28.18437022,82,113,123,89,113,-6.212041676,2.064896755,12633,13301,14018,15106,16823,5.895959501,2.026202012,7810,10404,11695,11520,13402,11.40475194,-5.62567429,9789,10533,11131,11896,12746,5.420996507,-0.15170295,2094,1904,1910,2208,2756,5.647812018,11.29746135,757,876,994,1089,1427,13.51823205,5.105900687,99.76875,108.89375,139.675,159.81875,197.46875,14.63065374,4.803928751,665.536708,699.152844,726.2959837,748.7599213,809.2224541,-3.834162574,-0.887852828,12,20,42,43,74,-30.49918374,-0.630630631,16957,17777,18609,20651,24300,-6.943106748,-3.4679197,4016,4425,4653,4970,5410,6.140398098,-0.443714745,651,719,723,746,989,8.723408863,7.376086011,179455,166744,138833,95804,44037,-24.49557016,-15.65038852,9.690841344,8.3438751,6.669853471,4.223976015,1.752158517,-28.9699072,-14.87312179,"B"
